[sub] Square/ShapeType[tagged] domain=7 (multicast 239.255.0.1). Ctrl-C to stop.
[sub] Square GREEN x=189 y=16 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=207
[sub] Square GREEN x=192 y=14 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=208
[sub] Square GREEN x=195 y=12 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=209
[sub] Square GREEN x=198 y=10 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=210
[sub] Square GREEN x=201 y=8 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=211
[sub] Square GREEN x=204 y=6 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=212
[sub] Square GREEN x=207 y=4 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=213
[sub] Square GREEN x=210 y=2 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=214
[sub] Square GREEN x=213 y=0 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=215
[sub] Square GREEN x=216 y=2 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=216
[sub] Square GREEN x=219 y=4 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=217
[sub] Square GREEN x=222 y=6 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=218
[sub] Square GREEN x=225 y=8 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=219
[sub] Square GREEN x=228 y=10 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=220
[sub] Square GREEN x=231 y=12 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=221
[sub] Square GREEN x=234 y=14 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=222
[sub] Square GREEN x=237 y=16 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=223
[sub] Square GREEN x=240 y=18 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=224
[sub] Square GREEN x=237 y=20 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=225
[sub] Square GREEN x=234 y=22 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=226
[sub] Square GREEN x=231 y=24 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=227
[sub] Square GREEN x=228 y=26 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=228
[sub] Square GREEN x=225 y=28 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=229
[sub] Square GREEN x=222 y=30 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=230
[sub] Square GREEN x=219 y=32 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=231
[sub] Square GREEN x=216 y=34 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=232
[sub] Square GREEN x=213 y=36 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=233
[sub] Square GREEN x=210 y=38 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=234
[sub] Square GREEN x=207 y=40 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=235
[sub] Square GREEN x=204 y=42 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=236
[sub] Square GREEN x=201 y=44 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=237
[sub] Square GREEN x=198 y=46 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=238
[sub] Square GREEN x=195 y=48 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=239
[sub] Square GREEN x=192 y=50 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=240
[sub] Square GREEN x=189 y=52 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=241
[sub] Square GREEN x=186 y=54 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=242
[sub] Square GREEN x=183 y=56 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=243
[sub] Square GREEN x=180 y=58 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=244
[sub] Square GREEN x=177 y=60 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=245
